Filename,Identifier,scientificName,CommonName,Comments
"Synchlora_dependens,I_MFS8995.jpg",I_MFS8995,Synchlora dependens,,
"Cell_phone,I_MFS8996.jpg",I_MFS8996,Cell phone,,
"moth_Noctuidae,I_MFS8997.jpg",I_MFS8997,moth Noctuidae,,
"light,I_MFS8998.jpg",I_MFS8998,light,,
"moth_Notodontidae,I_MFS8999.jpg",I_MFS8999,moth Notodontidae,,
"Oxydia_trychiata,I_MFS9000.jpg",I_MFS9000,Oxydia trychiata,,
"Nemoria_defectiva,I_MFS9001.jpg",I_MFS9001,Nemoria defectiva,,
"Oospila_athena,I_MFS9002.jpg",I_MFS9002,Oospila athena,,
"moth_Herbita,I_MFS9003.jpg",I_MFS9003,moth Herbita,,
"Lomographa_argentata,I_MFS9004.jpg",I_MFS9004,Lomographa argentata,,
"moth,I_MFS9005.jpg",I_MFS9005,moth,,
"Patalene_aenetusaria,I_MFS9006.jpg",I_MFS9006,Patalene aenetusaria,,
"moth_Geometridae,I_MFS9007.jpg",I_MFS9007,moth Geometridae,,
"moth_Notodontidae,I_MFS9008.jpg",I_MFS9008,moth Notodontidae,,
"Nephodia_auxesia,I_MFS9009.jpg",I_MFS9009,Nephodia auxesia,,
"Anisoperas_lurida,I_MFS9010.jpg",I_MFS9010,Anisoperas lurida,,
"moth,I_MFS9011.jpg",I_MFS9011,moth,,
"moth_Anomis,I_MFS9012.jpg",I_MFS9012,moth Anomis,,
"Oxydia_trychiata,I_MFS9013.jpg",I_MFS9013,Oxydia trychiata,,
"moth_Notodontidae,I_MFS9014.jpg",I_MFS9014,moth Notodontidae,,
"Synchlora_gerularia,I_MFS9015.jpg",I_MFS9015,Synchlora gerularia,,
"Semaeopus_viridiplaga,I_MFS9016.jpg",I_MFS9016,Semaeopus viridiplaga,,
"moth,I_MFS9017.jpg",I_MFS9017,moth,,
"Meganola_sp_san_luis_b,I_MFS9018.jpg",I_MFS9018,Meganola sp_san_luis_b,,
"moth_Arctiidae,I_MFS9019.jpg",I_MFS9019,moth Arctiidae,,
"moth,I_MFS9020.jpg",I_MFS9020,moth,,
"Simopteryx_torquataria,I_MFS9021.jpg",I_MFS9021,Simopteryx torquataria,,
"Euphyia_sp_group_san_luis,I_MFS9022.jpg",I_MFS9022,Euphyia sp_group_san_luis,,
